Order,Category,Type,Item,Cost,Update,
12,Vehicles,"4x, Armed",Exoshell Standard,"60,000",,
13,Vehicles,"4x, Armed",Exoshell Russian,"60,000",Operation Motherland,
14,Vehicles,"Car, Civilian",Exstatic Standard,"6,750",,
15,Vehicles,"Car, Civilian",Exstatic Armored - Outcast,"10,000",Resistance,
16,Vehicles,"4x, Civilian",Flare,"4,500",,
17,Vehicles,"4x, Unarmed",GX Spider Mk. II Standard,"7,000",,
18,Vehicles,"4x, Unarmed",GX Spider Mk. II Hill,"7,800",,
19,Vehicles,"4x, Unarmed",GX Spider Mk. II Jungle,"7,800",,
20,Vehicles,"4x, Unarmed",GX Spider Mk. II Snow,"7,800",,
21,Vehicles,APC,IC-8 Incursion Standard,"75,000",,
22,Vehicles,"4x, Civilian",Landscape Standard,"4,800",,
23,Vehicles,"4x, Armed",Landscape Mk. II Standard,"8,700",,
24,Vehicles,"4x, Armed",Landscape Mk. II Hill,"9,600",,
25,Vehicles,"4x, Armed",Landscape Mk. II Jungle,"9,600",,
26,Vehicles,"4x, Armed",Landscape Mk. II Snow,"9,600",,
27,Vehicles,"4x, Armed",LC-4 Coercion Standard,"10,000",,
28,Vehicles,"4x, Armed",MC-1 Restraint Standard,"12,000",,
29,Vehicles,"4x, Armed",MC-1 Restraint Tomahawk,"50,000",Teammate Experience,
30,Vehicles,"4x, Armed",MC-1 Restraint Russian,"12,000",Operation Motherland,
31,Vehicles,"4x, Armed",MC-2 Pressure Standard,"8,250",,
32,Vehicles,"4x, Armed",MC-2 Pressure Hive,"9,750",,
33,Vehicles,"4x, Armed",Path Keeper Standard,"4,500",,
34,Vehicles,"4x, Armed",Path Keeper Spark,"4,850",,
35,Vehicles,"4x, Unarmed",Path Watcher Standard,"5,400",,
36,Vehicles,"4x, Armed",Path Watcher Mk. II Standard,"7,200",,
37,Vehicles,"4x, Armed",Path Watcher Mk. II Desert,"9,000",,
38,Vehicles,"4x, Armed",Path Watcher Mk. II Hill,"9,000",,
39,Vehicles,"4x, Armed",Path Watcher Mk. II Snow,"9,000",,
40,Vehicles,"Car, Armed",Resistance Car - Outcast,"20,000",Resistance,
41,Vehicles,"Truck, Armed",RT-5 Shepherd Mk. II Standard,"10,000",,
42,Vehicles,"Truck, Armed",RT-5 Shepherd Mk. II Terminator,"100,000",,
43,Vehicles,"Truck, Unarmed",RT-5 Shepherd Russian,"10,000",Operation Motherland,
44,Vehicles,"4x, Armed",Starfield X4 Standard,"8,250",,
45,Vehicles,"4x, Armed",Starfield X4 Mk. II Terminator,"60,000",,
46,Vehicles,"4x, Unarmed",Scenery Mk. II Standard,"7,500",,
47,Vehicles,"4x, Unarmed",Scenery Mk. II Desert,"8,700",,
48,Vehicles,"4x, Unarmed",Scenery Mk. II Hill,"8,700",,
49,Vehicles,"4x, Unarmed",Scenery Mk. II Jungle,"8,700",,
50,Vehicles,"4x, Armed",Warden Standard,"7,000",,
51,Vehicles,Helicopter,Deinos Standard,"37,500",,
52,Vehicles,Helicopter,Gyps Standard,"15,000",,
53,Vehicles,Helicopter,Gyps Mk. II Terminator,"60,000",,
54,Vehicles,Helicopter,Overseer Rockets Standard,"37,500",,
55,Vehicles,Helicopter,Overseer Gatling Standard,"30,000",,
56,Vehicles,Helicopter,Overseer Rockets Mk. II Standard,"45,000",,
57,Vehicles,Helicopter,Overseer Rockets Mk. II Desert,"50,000",,
58,Vehicles,Helicopter,Overseer Rockets Mk. II Snow,"50,000",,
59,Vehicles,Helicopter,Overseer Rockets Mk. II Outcast,"60,000",Resistance,
60,Vehicles,Helicopter,Overseer Gatling Mk. II Russian,"50,000",Operation Motherland,
61,Vehicles,Helicopter,Overseer Rockets Mk. II Russian,"50,000",Operation Motherland,
62,Vehicles,Helicopter,Opheis Standard,"40,000",,
63,Vehicles,Helicopter,Opheis Mk. II Standard,"45,000",,
64,Vehicles,Helicopter,Opheis Mk. II Desert,"55,000",,
65,Vehicles,Helicopter,Opheis Mk. II Hill,"55,000",,
66,Vehicles,Helicopter,Opheis Mk. II Jungle,"55,000",,
67,Vehicles,Helicopter,Blacklist Mk. II - Standard,"60,000",Resistance,
68,Vehicles,Motorcycle,Trail EX Standard,"1,000",,
69,Vehicles,Motorcycle,Trail TX Terminator,"25,000",,
70,Vehicles,Motorcycle,Firespin FFA,"20,000",,
71,Vehicles,Motorcycle,Firespin Velvet,"20,000",,
72,Vehicles,Motorcycle,Road CM Fusion,"20,000",,
73,Vehicles,Motorcycle,Road CM Metrik,"20,000",,
1,Attachments,Sight,ACSS Sight,"3,800",Maria's Shop,
2,Attachments,Sight,Digital Sight,"3,800",Maria's Shop,
3,Attachments,Sight,EXPS3XG33 Sight,"3,800",Maria's Shop,
4,Attachments,Sight,Futuristic closed Sight,"5,000",Maria's Shop / Event Reward,
5,Attachments,Sight,MICROT1 Sight,"3,800",Maria's Shop,
6,Attachments,Sight,MH1 Sight,"3,800",Maria's Shop,
7,Attachments,Sight,RU Long-Range FOV Sight,"3,800",Maria's Shop,
8,Attachments,Sight,RU Red Dot G33 Sight,"3,800",Maria's Shop,
9,Attachments,Sight,RU Red Dot Sight,"3,800",Maria's Shop,
10,Attachments,Sight,SLX5 Sight,"5,000",Resistance,
11,Attachments,Sight,TA31H Sight,"1,000",Ep. 2 Deep State,
12,Attachments,Sight,TARS101,"3,800",Maria's Shop,
13,Attachments,Underbarrel,AFG-2 Angled Foregrip,"2,300",Maria's Shop,
14,Attachments,Underbarrel,Lightweight Vertical Foregrip,"2,300",Maria's Shop,
15,Attachments,Underbarrel,PTK Angled Foregrip,"2,300",Maria's Shop,
16,Attachments,Underbarrel,Rounded Angled Foregrip,"2,300",Maria's Shop,
17,Attachments,Underbarrel,RVG Vertical Foregrip,"2,300",Maria's Shop,
18,Attachments,Underbarrel,SHIFT Angled Short Grip,"2,300",Maria's Shop,
19,Attachments,Underbarrel,STFG Angled Grip,"2,300",Maria's Shop,
20,Attachments,Sight,LEUPOLD Holo Sight,"5,000",Resistance,
21,Attachments,Underbarrel,Underbarrel Grenade Launcher,"10,000",Maria's Shop,
22,Attachments,Sight,VC16 Sight,"5,000",Resistance,
23,Attachments,Magazine,ASR Extended Magazine,"3,000",Maria's Shop,
24,Attachments,Magazine,ASR 100 rounds Magazine,"10,000",Resistance,
25,Attachments,Magazine,HDG Extended Magazine,"5,000",Amber Sky,
26,Attachments,Magazine,LMG Extended Magazine,"3,000",Maria's Shop,
27,Attachments,Magazine,SMG Extended Magazine,"3,000",Maria's Shop,
28,Attachments,Magazine,STG Extended Magazine,"3,000",Maria's Shop,
29,Attachments,Muzzle,338 Control Shield,"5,000",Resistance,
30,Attachments,Muzzle,556 Control Shield,"5,000",Resistance,
31,Attachments,Muzzle,762 Control Shield,"5,000",Resistance,
32,Attachments,Muzzle,Hive Silencer,"6,000",Amber Sky,
33,Attachments,Muzzle,Kilim Silencer,"10,000",Ep. 2 Deep State,
34,Attachments,Muzzle,Prism Silencer,"6,000",Amber Sky,
35,Attachments,Muzzle,Ripples Silencer,"10,000",Ep. 2 Deep State,
,Attachments,Stock,Convex Stock,"10,000",Teammate Experience,
,Attachments,Rail,PEQ-15,"1,500",Maria's Shop,
1,Gear Skins,Headwear,3E Black Arrow,"2,500",,
2,Gear Skins,Headwear,Ash's Cap,"7,500",Teammate Experience,
3,Gear Skins,Headwear,Baseball Cap,500,,
4,Gear Skins,Headwear,Flat Cap,"5,000",,
5,Gear Skins,Headwear,Military Beret,"5,000",,
6,Gear Skins,Headwear,Resistance Helmet,"7,500",,
7,Gear Skins,Headwear,Rebel Ballistic Mask,"5,000",,
8,Gear Skins,Headwear,Rebel Helmet,"5,000",,
9,Gear Skins,Headwear,Riot Helmet,"5,000",,
10,Gear Skins,Headwear,SWAT Helmet,"7,500",Teammate Experience,
11,Gear Skins,Headwear,Tactical Bandana,"5,000",,
12,Gear Skins,Headwear,Team Wendy EXFIL Carbon - Covered,"2,000",,
,Gear Skins,Headwear,5.11 Boonie Hat,750,,
13,Gear Skins,Pants,Armored Baggy Pants,"4,500",,
14,Gear Skins,Pants,Armored Forest Tactical Pants,"4,500",,
15,Gear Skins,Pants,Armored Heat Regulating Tactical Pants,"3,500",,
16,Gear Skins,Pants,Armored Pants,"3,500",,
17,Gear Skins,Pants,Baggy Pants,"3,500",Resistance,
18,Gear Skins,Pants,BLACKHAWK Tactical Shorts,"6,000",,
19,Gear Skins,Pants,First Spear Centurion Shorts,"5,000",,
20,Gear Skins,Pants,Heat Regulating Tactical Pants,Free,,
21,Gear Skins,Pants,Hill's Pants,"3,500",Resistance,
22,Gear Skins,Pants,Long Shorts,"3,500",,
23,Gear Skins,Pants,Mixed Materials Ghillie Pants,"7,500",Operation Motherland,
24,Gear Skins,Pants,Punk Pants,"4,500",,
25,Gear Skins,Pants,Reinforced Thigh Pads Pants,"4,500",,
26,Gear Skins,Pants,Scuba Pants,"2,500",,
27,Gear Skins,Pants,Strap Shorts,"3,500",Resistance,Renamed from Long Bermuda?
28,Gear Skins,Pants,Thigh Pads Pants,"3,500",,
29,Gear Skins,Pants,Thigh Pad Shorts,"3,500",,
30,Gear Skins,Pants,Utility Work Pants,"3,500",Resistance,
31,Gear Skins,Vest,Armored Dual Harness Vest,"7,500",,
32,Gear Skins,Vest,Armored Marten Plate Carrier,"5,000",,
33,Gear Skins,Vest,Coyote Chest Rig,"5,000",,
34,Gear Skins,Vest,Coyote Plate Carrier,"5,000",,
35,Gear Skins,Vest,Dual Harness Vest,Free,,
36,Gear Skins,Vest,Hill's Vest,"4,000",Resistance,
37,Gear Skins,Vest,Light Carrier Harness,"4,000",Resistance,Renamed from Light Plate Carrier?
38,Gear Skins,Vest,Light Chest Rig,"4,000",,
39,Gear Skins,Vest,Low Profile Chest Rig,"4,000",Resistance,
40,Gear Skins,Vest,Marten Chest Rig,"4,000",Resistance,
41,Gear Skins,Vest,Ocelot Chest Rig,"4,000",,
42,Gear Skins,Vest,Safariland P1 Covert Carrier,"7,000",,
43,Gear Skins,Vest,Safariland V1 Overt Carrier,"7,000",,
44,Gear Skins,Vest,Strap Chest Harness,"4,000",Resistance,
45,Gear Skins,Vest,SWAT Vest,"7,000",Teammate Experience,
46,Gear Skins,Vest,Tactical Riot Vest,"5,000",,
47,Gear Skins,Handwear,Armored Soft Gloves,"5,000",,
48,Gear Skins,Handwear,BLACKHAWK FURY Gloves,"5,000",,
49,Gear Skins,Handwear,Hard Padded Gloves,"1,500",Resistance,
50,Gear Skins,Handwear,Hard Shell Gloves,"1,500",Resistance,
51,Gear Skins,Handwear,Energy Strike Gloves,"5,000",,
52,Gear Skins,Handwear,Heavy Duty Gloves,"1,500",Resistance,
53,Gear Skins,Handwear,High Density Gloves,"1,500",Resistance,
54,Gear Skins,Handwear,Leather Gloves,"1,500",,
55,Gear Skins,Handwear,Mustang Survival Ocean Racing Gloves,"5,000",,
56,Gear Skins,Handwear,Punk Gloves,"6,000",,
57,Gear Skins,Handwear,Soft Gloves,Free,,
58,Gear Skins,Handwear,Scuba Gloves,300,,"From gear page only, not gear skins."
59,Gear Skins,Footwear,Classic Sneakers,"3,500",,
60,Gear Skins,Footwear,Large Collar Sneakers,"1,500",Resistance,
61,Gear Skins,Footwear,Punk Boots,"6,000",,
62,Gear Skins,Footwear,Reinforced Boots,"1,500",,
63,Gear Skins,Footwear,Self-Fastening Ankle Boots,"1,500",Resistance,
64,Gear Skins,Footwear,Self-Fastening Tactical Sneakers,"1,500",,
65,Gear Skins,Footwear,Soft Shoes,Free,,
66,Gear Skins,Footwear,UA Micro G Pursuit Twist,"5,000",,
67,Gear Skins,Footwear,Utility Boots,"1,500",Resistance,
1,Accessories,Glasses,ACH Goggles,"5,000",,
2,Accessories,Glasses,Aviators,"5,000",,
3,Accessories,Glasses,Azure Glasses,"50,000",Operation Motherland,
4,Accessories,Glasses,Goggles ACH - Cross-Com,"7,500",Operation Motherland,
5,Accessories,Glasses,Oakley Jawbreaker,"5,000",,
6,Accessories,Glasses,Pulse's Glasses,"7,500",Teammate Experience,
7,Accessories,Glasses,Revision Exoshield,"5,000",,
8,Accessories,Glasses,Round Glasses,"100,000",,
9,Accessories,Glasses,Sarah Connor Sunglasses,"7,500",,
10,Accessories,Glasses,Scuba Mask,"2,500",,
11,Accessories,Glasses,Terminator Sunglasses,"8,000",,
12,Accessories,Facemask,3E Eclipse Balaclava Helmet,"10,000",,
13,Accessories,Facemask,Airsoft Skull Mask,"1,000",,
14,Accessories,Facemask,Crye Compact Assault Ghillie Hood,"20,000",Teammate Experience,
15,Accessories,Facemask,Extreme Infiltrator Mask,"15,000",,
16,Accessories,Facemask,F-16 Fighter Helmet,"5,000",,
17,Accessories,Facemask,Flir Nyx-7,"15,000",,
18,Accessories,Facemask,Future Soldier Headgear,"10,000",Operation Motherland,
19,Accessories,Facemask,Mixed Materials Ghillie Hood,"10,000",Operation Motherland,
20,Accessories,Facemask,Ninja Half Mask,"1,500",Resistance,
21,Accessories,Facemask,Panoramic Gas Mask,"15,000",Teammate Experience,
22,Accessories,Facemask,Rebel Knight Helmet,"5,000",,
23,Accessories,Facemask,Rebel Plate Mask,"5,000",,
24,Accessories,Facemask,Shemagh,"2,000",Resistance,
25,Accessories,Facemask,Skull Ballistic Mask,"7,500",,
26,Accessories,Facemask,Sniper Balaclava,"1,500",,
27,Accessories,Facemask,Steel Skull Ballistic Mask,"10,000",,
28,Accessories,Facemask,Wolf Mask C,"25,000",,
29,Accessories,Headset,Ops-Core AMP,950,,
30,Accessories,Headset,Peltor Lite-Com 3,"3,000",,
31,Accessories,Headset,Safariland Liberator IV,"2,200",,
32,Accessories,Headset,TCI Liberator II Headset,"3,000",,
33,Accessories,Top,Armored Large Rainstorm Coat,"6,000",,
34,Accessories,Top,Armored Rainstorm Coat,"6,000",,
35,Accessories,Top,Armored Sport Zipped Sweater,"7,500",,
36,Accessories,Top,Crye Compact Assault Ghillie,"30,000",,
37,Accessories,Top,Helikon-Tex CPU Shirt,"7,500",,
38,Accessories,Top,Helikon-Tex Grid Fleece,"7,500",,
39,Accessories,Top,Large Rainstorm Coat,"5,000",Resistance,
40,Accessories,Top,Leather Jacket,"1,000",,
41,Accessories,Top,Lumberjack Shirt,"7,500",,
42,Accessories,Top,Mixed Materials Ghillie Top,"15,000",Operation Motherland,
43,Accessories,Top,Nomad Emblem T-shirt,900,,
44,Accessories,Top,Panther T-shirt,"1,200",,
45,Accessories,Top,Pocket Tee,750,,
46,Accessories,Top,Punk Jacket,"8,500",,
47,Accessories,Top,Punk T-shirt,"7,500",,
48,Accessories,Top,Rainstorm Coat,"7,500",,
49,Accessories,Top,Resistance Vest,"7,500",,
50,Accessories,Top,Rolled-up Sleeves Shirt,900,,
51,Accessories,Top,Scuba Diver Top,"5,000",,
52,Accessories,Top,Sentinel Armored Shirt,"7,500",,
53,Accessories,Top,Sentinel Jacket,"1,500",,
54,Accessories,Top,Sleeveless Jacket And T-shirt,"5,000",Resistance,
55,Accessories,Top,Sharpshooter T-shirt,"1,200",,
56,Accessories,Top,Soft Shell,900,,
57,Accessories,Top,Sports Jacket,"5,000",Resistance,
58,Accessories,Top,Sport Zipped Sweater,Free,,
59,Accessories,Top,SWAT Top,"7,500",Teammate Experience,
60,Accessories,Top,Waterproof Top,"5,000",Resistance,
61,Accessories,Top,Worn T-shirt,"2,000",,
62,Accessories,Top,Zipped Hoodie,"5,000",,
63,Accessories,Top,Zipped Sweater,"5,000",Resistance,
64,Accessories,Backpack,Armored Pack,"7,000",,
65,Accessories,Backpack,Hill's Backpack,"4,000",Resistance,
1,Patches,,5.11 Beast Patch,400,,
2,Patches,,5.11 Eagle Patch,400,,
3,Patches,,5.11 Tactical Pineapple Grenade Patch,550,,
4,Patches,,A-TACS Skull Patch,400,,
5,Patches,,Aamon Patch,400,,
6,Patches,,Andras Patch,900,,
7,Patches,,Athlete,550,,
8,Patches,,Aym Patch,400,,
9,Patches,,Azrael Patch,400,,
10,Patches,,Bear Patch,400,,
11,Patches,,Behemoth Patch,550,,
12,Patches,,Blade Master,700,,
13,Patches,,Bomber Patch,400,,
14,Patches,,Commander,550,,
15,Patches,,Explorer,550,,
16,Patches,,Fighter Pilot,550,,
17,Patches,,Headshot Expert,"1,500",,
18,Patches,,Heart Patch,400,,
19,Patches,,Incubus Patch,550,,
20,Patches,,Infiltrator,550,,
21,Patches,,Kelso Fields,830,,
22,Patches,,Kryptek Spartan Unit Patch,400,,
23,Patches,,Legion Patch,400,,
24,Patches,,Malphas Patch,400,,
25,Patches,,Martial Artist,830,,
26,Patches,,Murmur Patch,200,,
27,Patches,,Powered by Coffee,"1,000",,
28,Patches,,Russian Army B,"1,000",Operation Motherland,
29,Patches,,Russian Army C,"1,000",Operation Motherland,
30,Patches,,Smiley,"1,000",,
31,Patches,,Space Brigade,"1,000",,
32,Patches,,Stolas Patch,700,,
33,Patches,,Strategist,550,,
34,Patches,,Succubus Patch,400,,
35,Patches,,T-800,"2,000",,
36,Patches,,Tactical Kitten,"1,000",,
37,Patches,,Tactical Tailor Patch A,400,,
38,Patches,,Tactical Tailor Patch B,550,,
39,Patches,,Tactical Viking,"1,000",,
40,Patches,,Transporter,550,,
41,Patches,,VXI Patch,700,,
42,Patches,,United Nations Flag,700,,
43,Patches,,European Union Flag,700,,
44,Patches,,Algeria Flag,700,Resistance,
45,Patches,,Algeria Flag 2,700,,
46,Patches,,Argentina Flag,700,Resistance,
47,Patches,,Australia Flag,700,Resistance,
48,Patches,,Australia Flag 2,700,,
49,Patches,,Austria Flag,700,Resistance,
50,Patches,,Belgium Flag,700,Resistance,
51,Patches,,Belgium Flag 2,700,,
52,Patches,,Bolivia Flag,700,Resistance,
53,Patches,,Bolivia Flag 2,700,,
54,Patches,,Brazil Flag,700,Resistance,
55,Patches,,Canada Flag,700,Resistance,
56,Patches,,Canada Flag 2,700,,
57,Patches,,Chile Flag,700,Resistance,
58,Patches,,China Flag,700,Resistance,
59,Patches,,China Flag 2,700,,
60,Patches,,Columbia Flag,700,Resistance,
61,Patches,,Czech Republic Flag,700,Resistance,
62,Patches,,Czech Republic Flag 2,700,,
63,Patches,,Denmark Flag,700,Resistance,
64,Patches,,Denmark Flag 2,700,,
65,Patches,,Finland Flag,700,Resistance,
66,Patches,,Finland Flag 2,700,,
67,Patches,,France Flag,700,Resistance,
68,Patches,,France Flag 2,700,,
69,Patches,,Germany Flag,700,Resistance,
70,Patches,,Germany Flag 2,700,,
71,Patches,,Hungary Flag,700,Resistance,
72,Patches,,Hungary Flag 2,700,,
73,Patches,,Ireland Flag,700,Resistance,
74,Patches,,Ireland Flag 2,700,,
75,Patches,,Italy Flag,700,Resistance,
76,Patches,,Italy Flag 2,700,,
77,Patches,,Japan Flag,700,Resistance,
78,Patches,,Japan Flag 2,700,,
79,Patches,,Korea Flag,700,Resistance,
80,Patches,,Mexico Flag,700,Resistance,
81,Patches,,Mexico Flag 2,700,,
82,Patches,,Morocco Flag,700,Resistance,
83,Patches,,Morocco Flag 2,700,,
84,Patches,,Netherlands Flag,700,Resistance,
85,Patches,,New Zealand Flag,700,Resistance,
86,Patches,,New Zealand Flag 2,700,,
87,Patches,,Norway Flag,700,Resistance,
88,Patches,,Norway Flag 2,700,,
89,Patches,,Poland Flag,700,Resistance,
90,Patches,,Poland Flag 2,700,,
91,Patches,,Portugal Flag,700,Resistance,
92,Patches,,Portugal Flag 2,700,,
93,Patches,,Romania Flag,700,Resistance,
94,Patches,,Romania Flag 2,700,,
95,Patches,,Russia Flag,700,Resistance,
96,Patches,,Russia Flag 2,700,,
97,Patches,,Saudi Arabia Flag,700,Resistance,
98,Patches,,Serbia Flag,700,,
99,Patches,,South Africa Flag,700,Resistance,
100,Patches,,Spain Flag,700,Resistance,
101,Patches,,Spain Flag 2,700,,
102,Patches,,Sweden Flag,700,Resistance,
103,Patches,,Sweden Flag 2,700,,
104,Patches,,Switzerland Flag,700,Resistance,
105,Patches,,Thailand Flag,700,Resistance,
106,Patches,,Tunisia Flag,700,Resistance,
107,Patches,,Tunisia Flag 2,700,,
108,Patches,,United Kingdom Flag,700,Resistance,
109,Patches,,United Kingdom Flag 2,700,,
110,Patches,,United States Flag,700,Resistance,
111,Patches,,United States Flag 2,700,,
1,Melee Weapons,,Fury Brown,"1,500",,
2,Melee Weapons,,HF2 T,"2,200",,
3,Melee Weapons,,LMF II,"5,050",,
4,Melee Weapons,,Serrated Edge,"3,100",,
5,Melee Weapons,,SKAR - Testudo,"2,000",,
6,Melee Weapons,,Straight Edge,"1,100",,
7,Melee Weapons,,Utility,"4,000",,
8,Melee Weapons,,Ultralight TBE,"4,000",,
1,Body and Costumes,Costume,Damaged T-800 B,"30,000",,
2,Body and Costumes,Costume,Damaged T-800 C,"30,000",,
3,Body and Costumes,Costume,Hill,Free,,
4,Body and Costumes,Costume,Walker,Free,,
5,Body and Costumes,Hair,Buzz Cut,Free,,
6,Body and Costumes,Hair,Crew Cut,Free,,
7,Body and Costumes,Hair,Punk Haircut,"3,500",,
8,Body and Costumes,Facial Hair,Mustache D,Free,,
9,Body and Costumes,Facial Paint,Black Paint G,200,,
10,Body and Costumes,Facial Paint,Black Paint H,200,,
11,Body and Costumes,Facial Paint,Black Paint I,300,,
12,Body and Costumes,Facial Paint,Black Paint K,500,,
13,Body and Costumes,Facial Paint,Black Paint Woman,500,,
14,Body and Costumes,Facial Paint,Black Forehead,"5,000",,
15,Body and Costumes,Facial Paint,Camo Finger Paint G,200,,
16,Body and Costumes,Facial Paint,Camo Finger Paint H,"3,500",,
17,Body and Costumes,Facial Paint,Camo Finger Paint I,"3,500",,
18,Body and Costumes,Facial Paint,Camo Finger Paint B,"3,500",,
19,Body and Costumes,Facial Paint,Festus,"1,500",,
20,Body and Costumes,Facial Paint,Red Under-eye,"4,000",,
21,Body and Costumes,Facial Paint,Shark,"2,000",,
22,Body and Costumes,Facial Paint,Shredded T-800,"5,000",,
23,Body and Costumes,Facial Paint,Tiger,"3,500",,
24,Body and Costumes,Facial Paint,Tire Track,"4,000",,
25,Body and Costumes,Left Arm Tattoo,Twilight Lotus,750,,
26,Body and Costumes,Left Arm Tattoo,Fleeting Time,"1,000",,
27,Body and Costumes,Left Arm Tattoo,Swooping Eagle,"2,500",,
28,Body and Costumes,Right Arm Tattoo,Commando,"1,000",,
29,Body and Costumes,Left Arm Tattoo,Blackwork,"1,000",,
30,Body and Costumes,Left Arm Tattoo,T-800,"3,500",,
31,Body and Costumes,Left Arm Tattoo,Robot Arm (left),"3,500",,
32,Body and Costumes,Right Arm Tattoo,Light Swirl,"1,000",,
33,Body and Costumes,Right Arm Tattoo,Soaring Eagle,"1,000",,
34,Body and Costumes,Right Arm Tattoo,Layered Sleeve,"1,000",,
35,Body and Costumes,Right Arm Tattoo,Robot Arm (right),"3,500",,
36,Body and Costumes,Right Arm Tattoo,Shredded Arm (right),"3,500",,
37,Body and Costumes,Left Arm Tattoo,Shredded Arm (left),"3,500",,
1,Card Banners,,Green Mesh,500,,
2,Card Banners,,Aamon,400,,
3,Card Banners,,Sharp,400,,
4,Card Banners,,Assembly,400,,
5,Card Banners,,Poppy,400,,
6,Card Banners,,Oxide,400,,
7,Card Banners,,Circuit,550,,
8,Card Banners,,Compound,550,,
9,Card Banners,,Stolas,550,,
10,Card Banners,,Hardened Fabric,550,,
11,Card Banners,,Impact,550,,
12,Card Banners,,Strike,550,,
13,Card Banners,,City at Night,550,,
14,Card Banners,,Logic,550,,
15,Card Banners,,Husk,550,,
16,Card Banners,,Concrete Edges,550,,
17,Card Banners,,Organic Cells,550,,
18,Card Banners,,Wood Cover,550,,
19,Card Banners,,Binary Sockets,550,,
1,Emblems,,Scorpion,400,,
2,Emblems,,Leopard,400,,
3,Emblems,,Raccoon,400,,
4,Emblems,,Crocodile,400,,
5,Emblems,,Killer Whale,550,,
6,Emblems,,Wolf,550,,
7,Emblems,,Octopus,550,,
8,Emblems,,Tyrannosaurus,"1,000",,
9,Emblems,,Eagle Eye Female,"1,000",,
10,Emblems,,Hot Pursuit Female,"1,000",,
11,Emblems,,Knife Combat Female,"1,000",,
12,Emblems,,Savior Female,"1,000",,
13,Emblems,,Eagle Eye Male,"1,000",,
14,Emblems,,Hot Pursuit Male,"1,000",,
15,Emblems,,Knife Combat Male,"1,000",,
16,Emblems,,Savior Male,"1,000",,
17,Emblems,,Skynet,"4,000",,
18,Emblems,,T-800,"4,000",,
1,Emotes,,Rock Beats Scissors,100,,
2,Emotes,,Scissors Beats Paper,100,,
