Episode,Mission Name,Profile,XP,Credits,Other Rewards,Locations
Deep State,Missing in Action,Operation Checkmate,"2,000","2,000","SC IS HDG (Blueprint), Fourth Echelon Googles","Mount Hodgson - Erewhon, Channels - Channels Port, Skell Technology Location SE of Red Shark Outpost, Navy Fueling Station, Abandoned Site S of Cold War Ruins fuel depot"
Deep State,One Mind Army,Sam Fisher,"2,000","2,000","Sam Fisher (Costume), Splinter Cell Agent (Title)","Channels - Cold War Site bunker SE of Navy Fueling Station, Main Pumping Station, Auroa Power Plant"
Deep State,Legal Move,Stephanie Burgess,"1,400","1,500",Fourth Echelon Top,"Liberty - Parliament Shopping Street, Seal Islands - Sentinel Corp. Naval Base, unmarked location Legion tower north of Naval Base"
Deep State,Lone Wolf,Karel Sekulic,"1,400","1,500",Fourth Echelon Mask,"Restricted Area 01 - Outpost Red Fox, Skell Technology Location E end of Gold Digger Range, Liberty - Jace Skell Dam, Seal Islands - Traces of Ancient Ruins on small island W of Entry Island"
Deep State,Enemy Within,General Paxton,"1,400","1,500",Fourth Echelon Gloves,"Liberty - Ayn Rand Residences, Seal Islands - Cave Site SSE of Albatross Peak"
Deep State,Spirit of the Hive,Willem Van Dyke,"1,400","1,500",Fourth Echelon Pants,"Liberty - Skell Technology Location SE of Detention Center, Skell Technology Location E of Bird Hill, Auroa Solar Power Plant"
Deep State,Black Sheep,Hollie Mackenzie,"1,400","1,500",Fourth Echelon Boots,"Restricted Area 01 - unmarked location observation tower E of Jace Skell Dam, unmarked location on streambank SW of Coronet High (go on foot, pass the chainsaw door egg), Skell Technology Location NE of Coronet High, Training Center, five red com towers at unmarked locations S of Training Center, Freeman Residences"
Deep State,Two Birds One Stone,The Strategist,"3,200","2,500","Blacklist Helicopter, Victor Coste (Costume), CLAW Breaker (Title)","Channels - Cold War Site bunker SE of Navy Fueling Station, Channels R&D Center"
Red Patriot,Right from the Top,Red Patriot,-,-,-,Mount Hodgson - Erewhon
Red Patriot,Hazardous Material,Manticore,"3,200","2,500","Boson Radiation, Bodark Shirt, Bodark Mask E","Smuggler Coves - Sunken Clipper Bay Bivouac, Maunga Nui Port, Smuggler Coves Freight Yard, Auroa Materials Deposit"
Red Patriot,Blood of the Father,Basilisk,"3,200","2,500","Bodark Boots, Bodark Pants, Pyotr Bukharov (Costume)","New Stirling - Round Top Bivouac, Ettrick Residences, Checkpoint Viper India, Ancient Fort to SW OR Abandoned Site on Bleak Hill"
Red Patriot,Information Warfare,Oracle,"3,200","2,500","Bodark Load Bearing Vest, MC-1 Restraint Raven's Rock, Bodark Mask D","Windy Islands - Windy Ridge Bivouac, unmarked location near shore E of bivouac, unmarked location cabin near center of island, Auroa Recycling Factory, roving convoy on Shack Island"
Red Patriot,Under the Mask,Sphinx,"2,000","2,000","Scott Mitchell Top, Scott Mitchell (Costume), Raven's Rock (Patch)","Seal Islands - Hunter Island Bivouac, Camp Seal Cove, Cold War Site bunker on S coast of Anchor Island, Cold War Site observation tower on hilltop at S end of Anchor Island, unmarked location docks on Landing Bay, Abandoned Barracks"
Red Patriot,How to Catch a Mastermind,Griffin,"3,200","2,500","Opheis Raven's Rock, Bodark Mask","Mount Hodgson - White Ridge Bivouac, Wild Coast -Skell Technology Location on ridge N of Long Valley, Storage Depot OR Wild Coast Freight Yard, whichever location you didn't choose first, Ancient Harbor on Stubb Bay"
Red Patriot,In Deep Waters,Kraken,"3,200","2,500","Bodark Gloves, Honey Badger Brown (Blueprint), Bodark Coat, Bodark Mask B","Fen Bog - Broughton Channel Bivouac, Control Station Tiger 02, Drone Station W051, Fen Bog Port"
Red Patriot,Wall Run,Medusa,"3,200","2,500",Bodark Camo (Gear Paint),"Restricted Area 01 - Wasp Ridge Bivouac, Traces of Ancient Ruins to E, truck gunner ride to unmarked location control tower on Grassland Highs, New Stirling - Skell Technology Location control tower between Gates 1 and 2, World Seed Vault"
Red Patriot,Snow Trail,Cyclops,"3,200","2,500","Bodark Mask C, Bodark Chest Rig, Ak74 Assault Survival (Blueprint)","Silent Mountain - Destiny Peak Bivouac, unmarked location crashed chopper on Scott Glacier, Mathilda's Palace, O'Connors Mine"
Red Patriot,Fireworks,Harpy,"2,000","2,000","Claro Gentile Mask, Claro Gentile (Costume)","Driftwood Islets - Stony Hill Bivouac, four plus unmarked locations around Pearl Island, Driftwood Islets Testing Zone"
Red Patriot,Stone Cold,Atlas,"8,200","6,000","553 Scout Sentinel (Blueprint), Trey Stone (Costume)","Lake Country - Raincliff Falls Bivouac, unmarked location W of Broken Hill, Prototype Workshop, Red Viper Outpost, Skell Security Assembly Hall"
Terminator,A Storm is Coming,Terminator,"3,200","3,000","Mk14 Termination (Blueprint), Biker T-800 (Costume)","Mount Hodgson - Erewhon, Sinking Country - Sentinel Corp. Land Base, Smuggler Coves - roving convoy around Tinstone Forest, Emergency Center, Skell Technology Location just uphill to SW"
Terminator,Clear Sky,Terminator,"3,200","3,000","Mk14 Termination Compensator, MGL Terminator (Blueprint), Damaged T-800 A (Costume), Elite Weapon Parts, Ex-Terminator (Title)","Mount Hodgson - Erewhon, Skell Technology Location on Stag Ridge, Smuggler Coves - Composite Factory"
Resistance,Join the Resistance,Resistance,-,-,- (Strike Designator after completing all missions.),Mount Hodgson - Erewhon
Resistance,Hit the Road,Resistance,"6,800","2,500",-,Liberty - unmarked location on road just SE of Bleak Hill Bivouac
Resistance,Traffic Control,Resistance,"6,800","2,500",-,New Stirling - unmarked location at S end of bridge over Murmur Delta
Resistance,License Expired,Resistance,"6,800","2,500",-,Wild Coast - unmarked location on raod between Drone Station W031 and Checkpoint Tiger Foxtrot
Resistance,Silent Recovery,Resistance,"6,800","2,500",-,Sinking Country - Bunker Edgehod South
Resistance,Brain Drain,Resistance,"6,800","2,500",-,Fen Bog - Bluecorp Startup
Resistance,Friends in Need,Resistance,"6,800","2,500",-,Sinking Country - Ammunition Depot
Resistance,Counterattack,Resistance,"6,800","2,500",-,New Stirling - Glenfield Farm
Resistance,Hearts and Souls,Resistance,"6,800","2,500",-,Lake Country - Camp Viper
Resistance,A Safer Place,Resistance,"6,800","2,500",-,Sinking Country - Anti-aircraft Ruins
Amber Sky,Hazardous Material,Amber Sky,-,-,- (Underbarrel Shotgun attachment after completing all missions.),Mount Hodgson - Erewhon
Amber Sky,Human Trial(s),Amber Sky,"2,000","2,000",-,"Fen Bog - Harris Forest Bivouac, Checkpoint Tiger Bravo, Harris Homestead, river run to unmarked location just E of Abandoned Site on N side of Broughton Channel"
Amber Sky,Slumbering Beast,Amber Sky,"2,000","2,000",-,"Wild Coast - Two Lakes Valley Bivouac, Hybrid Engine Factory"
Amber Sky,Breaking the Wheel,Amber Sky,"2,000","2,000",-,"Silent Mountain - Ramford Mountain Bivouac, Hemlock Station, Abandoned Site to N-NW"
Amber Sky,Fight Fire with Fire,Amber Sky,"2,000","2,000",-,"Whalers Bay - Auction Glade Bivouac, Land Chassis Factory, Wild Coast - Skell Technology Location NW of Toxic Storage Depot"
Amber Sky,The Devil We Want,Amber Sky,"2,000","2,000",-,"Mount Hodgson - Fugitive's Valley Bivouac, Smuggler Coves - Oleander Station, Skell Technology Location NW of Polymorph Modeling"
Amber Sky,Chasing an Apocalypse,Amber Sky,"2,000","2,000",-,"Fen Bog - Precipice Falls Bivouac, Fen Bog Testing Zone, Andersons Farm, Whitestone Farm"
Amber Sky,Root of All Evil,Amber Sky,"2,000","2,000",-,"Mount Hodgson - Stag Ridge Bivouac, Chem-Extraction Complex, Skell Technology Location near southern of two lakes directly to S"
Amber Sky,Desparate Measures,Amber Sky,"2,000","2,000",-,"Smuggler Coves - Cemetery Forest Bivouac, Foxglove Station, Fen Bog - Longford Farm"
Amber Sky,Drastic Remedy,Amber Sky,"2,000","2,000",-,"Whalers Bay - Small Valley Bivouac, Whalers Bay Airfield, Wild Coast - unmarked location landing strip on hill just N of Mechanical R&D Center"
Golem Island,Goliath Guard (Sector 1),Jericho,"2,000",-,MICROT1xG33 Sight,Golem Island - Sector 1 - Chemical Refinery
Golem Island,Goliath Guard (Sector 2),Jericho,"2,000",-,Revision BulletAnt Goggles,Golem Island - Sector 2 - Golem Island Testing Zone
Golem Island,Goliath Guard (Sector 3),Jericho,"2,000","6,000",Sentinel Kneepads,Golem Island - Sector 3 - Lava Shield
Golem Island,Timed Out (Sector 1),Jericho,"2,000",-,Elite Weapon Parts,Golem Island - Sector 1 - Satellite Dish
Golem Island,Timed Out (Sector 2),Jericho,"2,000",-,Tac Tailor Operator Pack,Golem Island - Sector 2 - Missile Site Ruins
Golem Island,Timed Out (Sector 3),Jericho,"2,000",-,Heli Helmet,Golem Island - Sector 3 - No Man's Land
Golem Island,High-Value Elimination (Sector 1),Jericho,"2,000",-,Elite Weapon Parts,Golem Island - Sector 1 - Golem Island Heliport
Golem Island,High-Value Elimination (Sector 2),Jericho,"2,000",-,Wolf Mask,Golem Island - Sector 2 - Camp Salamander
Golem Island,High-Value Elimination (Sector 3),Jericho,"2,000",-,PASGT Helmet,Golem Island - Sector 3 - Lavaduct
Golem Island,Retro-Engineering (Sector 1),Jericho,"2,000",-,Elite Weapon Parts,Golem Island - Sector 1 - Chemical Pipeline
Golem Island,Retro-Engineering (Sector 3 Prototype Workshop),Jericho,"2,000",-,Wolf Extreme Cold Weather Mittens,Golem Island - Sector 3 - Prototype Workshop
Golem Island,Retro-Engineering (Sector 3 Scandium Mine),Jericho,"2,000",-,Walker Vest,Golem Island - Sector 3 - Scandium Mine
Teammate Experience,Gearing Up,Teammates,800,-,Gear Supplier (Emblem),Change any teammate gear.
Teammate Experience,Loading Out,Teammates,800,-,Ghost Armory (Emblem),Change any teammate weapon.
Teammate Experience,Attention!,Teammates,800,-,Epic Handshake (Patch),"Give orders using the order wheel (it has you cycle through, pin the objective and make sure you give the right order)."
Teammate Experience,Loyalty,Teammates,-,-,Arcturus Ghost Hood,Reach Team Level 15.
Teammate Experience,On Your Feet,Teammates,"1,600",-,Revive (Patch),Revive an AI teammate.
Teammate Experience,Bounty Hunters,Teammates,"6,400",-,MDR (Blueprint),"Syncshot specific enemy types (it has you cycle through, pin the objective and make sure you target the right one)."
Teammate Experience,Behind Enemy Lines,Teammates,"6,400",-,Ops-Core FAST Helmet - Visor,Syncshot 9 enemies on Extreme difficulty.
Teammate Experience,Masks On,Teammates,"6,400",-,Revision Hellfly (Glasses),Syncshot 9 enemies in Amber Ruin gas.
Teammate Experience,Brotherhood,Teammates,"1,600",-,Ghost Squad (Emblem),Syncshot 4 enemies at once (you kill 4th) with the Ghost squad.
Teammate Experience,9 to 5,Teammates,"3,200",-,Russian Digital (Gear Paint),Syncshot 21 enemies.
Teammate Experience,Old School,Teammates,"3,200",-,Bloody Skull (Patch),Syncshot 9 enemies in Immersive mode.
Teammate Experience,Hunting Pack,Teammates,"6,400",-,Telnyashka (Top),Syncshot 9 enemies without being detected.
Teammate Experience,Joint Operations,Teammates,"1,600",-,Rainbow Six Squad (Emblem),Syncshot 4 enemies at once (you kill 4th) with the Rainbow squad.
Teammate Experience,Grassroots,Teammates,"3,200",-,Outcast Uprising (Patch),Syncshot 12 enemies with Resistance active.
Operation Motherland,Heart of the Revolution,R.01 UC.SPARKLE,"1,000","1,000",-,Windy Islands - Passage Point Bivouac
Operation Motherland,Burned Sanctuary,R.01 UC.SPARKLE,600,100,-,Windy Islands - South Cape Station
Operation Motherland,The Prison Break,R.01 UC.SPARKLE,600,100,-,Liberty - Detention Center
Operation Motherland,Crippling Bodark's Mobility,R.01 UC.SPARKLE,600,100,-,"Liberty - Liberty Airport, roving convoys (will come to airport)"
Operation Motherland,The Battle of Parliament,R.01 UC.SPARKLE,600,100,-,Liberty - Auroa Parliament
Operation Motherland,Intel and Asset,R.01 UC.SPARKLE,600,100,- (Optical Camo),Liberty - Eternity
Operation Motherland,The Rescue of Haruhi Ito,R.01 UC.SPARKLE,"3,600","1,800","SR-3M (Blueprint), 6B43",Liberty - Auroa Hospital
Operation Motherland,A Brilliant Mind,R.02 AG.CELL,"1,000","1,000",-,New Stirling - Round Top Bivouac
Operation Motherland,Targeted Killings,R.02 AG.CELL,600,100,Weapon parts,"New Stirling - Control Station Viper 02, Control Station Viper 03"
Operation Motherland,Execution Live,R.02 AG.CELL,600,100,Weapon parts,"Infinity - Polaris Residences, Abandoned Site to E across pond"
Operation Motherland,Hacking the Drone Swarm,R.02 AG.CELL,600,100,Weapon parts,"New Stirling - Legion tower NE of Sutherland Vineyard, Skell Technology Location to the N on beach, Legion tower SE of Dome Mountain"
Operation Motherland,The Advisor's Extraction,R.02 AG.CELL,"3,600","1,800",John Kozak's Glasses - Cross-Com (Glasses),"Infinity - Auroa Airport, unmarked location on hilltop W of Infinty Transport Hub."
Operation Motherland,Firepower,R.03 AG.CODON,"1,000","1,000",-,Sinking Country - Lake Roundabout Bivouac
Operation Motherland,Booby-trapped Hostages,R.03 AG.CODON,600,100,Weapon parts,"Sinking Country - Howard Airfield, Radar Station North, roving convoys circling Summers Swamp"
Operation Motherland,Stealing the Advantage,R.03 AG.CODON,600,100,Weapon parts,"Sinking Country - Camp Tiger, Russell Homestead"
Operation Motherland,Hunting the Eagles,R.03 AG.CODON,600,100,Weapon parts,"Sinking Country - Abandoned Site on E shore of Typhoon Bay, Abandoned Site directly S, chain of unmarked locations leading to Schulz Homestead"
Operation Motherland,Guns for the Outcasts,R.03 AG.CODON,"3,600","1,800","Russian Defender 2, Gyps Mk. II Russian",Sinking Country - Equipment Depot
Operation Motherland,The Campus,R.04 AG.SYNAPSE,"1,000","1,000",-,Cape North - Wall Mountain Bivouac
Operation Motherland,Air Commander Assassination,R.04 AG.SYNAPSE,600,100,Weapon parts,Cape North - Underwater Cable Station OR ?
Operation Motherland,Comms Blackout,R.04 AG.SYNAPSE,600,100,Weapon parts,"Cape North - Campus Relay Station, Sentinel Corp. Location WSW in Anchorage Arm, Campus Data Farm"
Operation Motherland,Destroy the Boxed Monsters,R.04 AG.SYNAPSE,600,100,Weapon parts,Cape North - Darkwood Island Port
Operation Motherland,The Scientists' Extraction,R.04 AG.SYNAPSE,"3,600","1,800",Future Soldier Scarf,"Cape North - Skell Foundation Campus, Abandoned Site to N"
Operation Motherland,The Warmonger,Fyodor Archinov,"20,000","2,500","Spetsnaz Balaclava, Fyodor Archinov (Costume), Depleted Ration",Sinking Country - Howard Airfield
Operation Motherland,Resources for Victory,R.05 MN.IRON,"1,000","1,000",-,Smuggler Coves - Dead Horse Swamp Bivouac
Operation Motherland,Rebel Worker's Rescue,R.05 MN.IRON,900,150,Weapon parts,Mount Hodgson - Bald Peak Mine
Operation Motherland,Bombing the Reinforcements,R.05 MN.IRON,900,150,Weapon parts,"Mount Hodgson - Mount Hodgson Bivouac, bridge to E near Checkpoint Tiger Echo, hill E of checkpoint"
Operation Motherland,Search and Destroy,R.05 MN.IRON,900,150,Weapon parts,"Smuggler Coves - Maunga Nui Port, Composit Factory, roving trucks circling roads around Old Distillery Lake"
Operation Motherland,The Drone's Shipment Steal,R.05 MN.IRON,900,150,Weapon parts,"Mount Hodgson - Chem-Extraction Complex, unmarked location S of Stag Ridge Bivouac"
Operation Motherland,Winter Provisions,R.05 MN.IRON,"3,600","1,800","Bodark NVG, Russian Army A (Patch)",Smuggler Coves - Auroa Materials Deposit
Operation Motherland,Industrial Plundering,R.06 MN.STEEL,"1,000","1,000",-,Wild Coast - Two Lakes Valley Bivouac
Operation Motherland,Bodarks Won't Fly,R.06 MN.STEEL,900,150,Weapon parts,"Wild Coast - Storage Depot, roving trucks circling roads around Lake Bulkington, Whalers Bay - Whalers Bay Airfield"
Operation Motherland,Drone Sabotage,R.06 MN.STEEL,900,150,Weapon parts,"Wild Coast - Hybrid Engine Factory, Electric Engine Factory"
Operation Motherland,Assault on Bodark Garrison,R.06 MN.STEEL,900,150,Weapon parts,Wild Coast - Outpost Blue Tiger
Operation Motherland,Grounding the Drone Swarm,R.06 MN.STEEL,900,150,Weapon parts,Wild Coast -  Wild Coast Freight Yard
Operation Motherland,Blinding the Drone Swarm,R.06 MN.STEEL,900,150,Weapon parts,Whalers Bay - Storage Depot
Operation Motherland,Shoot the Thieves,R.06 MN.STEEL,"3,600","1,800",Future Soldier Top,"Wild Coast - Engine R&D Center, Whalers Bay - Mechanical R&D Center"
Operation Motherland,Mistakes from the Past,R.07 MN.COPPER,"1,000","1,000",-,Seal Islands - Bald Ridge Bivouac
Operation Motherland,The Captured Outcasts,R.07 MN.COPPER,"1,200",200,Weapon parts,"Seal Islands - Anti-aircraft Battery, Skell Technology Location SW of Emelius Port"
Operation Motherland,Follow the Ticks,R.07 MN.COPPER,"1,200",200,Weapon parts,"Channels - Abandoned Site NW of Fuel Storage, chain of unmarked locations leading N over pass to Misty Lake then down and E and circling up to Traces of Ancient Ruins above crater lake."
Operation Motherland,Stealing the Beast,R.07 MN.COPPER,"1,200",200,Weapon parts,"Seal Islands - Sentinel Corp. Naval Base, Cave Site to NW"
Operation Motherland,Nailed to the Ground,R.07 MN.COPPER,"1,200",200,Weapon parts,Seal Islands - Fuel Storage
Operation Motherland,Short Circuit,R.07 MN.COPPER,"1,200",200,Weapon parts,Channels - Electric Grid Control
Operation Motherland,Too Dangerous to Keep,R.07 MN.COPPER,"3,600","1,800","LC-4 Coercion Outcast, Smersh Molle Chest Rig",Channels - Channels R&D Center
Operation Motherland,The Trickster,Kostas Tchertkov,"20,000","2,500","Gorka Pants, Kostas Tchertkov (Costume), Depleted Ration",Seal Islands - Naval Base Auroa Airfield
Operation Motherland,Cultivate Knowledge,R.08 DT.SERVO,"1,000","1,000",-,Silent Mountain - Solitary Peak Bivouac
Operation Motherland,Seek and Destroy,R.08 DT.SERVO,"1,200",200,Weapon parts,Good Hope Mountain - 
Operation Motherland,IT Rescue,R.08 DT.SERVO,"1,200",200,Weapon parts,"Good Hope Mountain - Natural Hazard Control, Skell Technology Location to NW"
Operation Motherland,Preventative Destruction,R.08 DT.SERVO,"1,200",200,Weapon parts,Silent Mountain - Camp Black Widow
Operation Motherland,Killing the Saboteurs,R.08 DT.SERVO,"1,200",200,Weapon parts,"Silent Mountain - Pumping Station, Battery Farm"
Operation Motherland,Protecting Auroa's Memory,R.08 DT.SERVO,"3,600","1,800",Opheis Mk. II Russian,Silent Mountain - Auroa Data Farm
Operation Motherland,A Dangerous Job,R.09 DT.HELIX,"1,000","1,000",-,Lake Country - Rocky Moor Bivouac
Operation Motherland,Execution for Road Safety,R.09 DT.HELIX,900,150,Weapon parts,Lake County - Camp Viper
Operation Motherland,Poaching New Allies,R.09 DT.HELIX,900,150,Weapon parts,"Lake County - Skell Security R&D Center, Abandoned Site to NW on far side of Skell Security Assembly Hall"
Operation Motherland,Against the Elite,R.09 DT.HELIX,900,150,Weapon parts,Lake County - Red Viper Outpost
Operation Motherland,Digging for Secrets,R.09 DT.HELIX,900,150,Weapon parts,"Lake Country - Two Lake Residences, Skell Security Operations"
